,Bigfoot State,Bigfoot Details,Bigfoot Date,Bigfoot Latitude,longitude,UFO Details,UFO State,UFO Country,UFO Date,UFO Shape,UFO Sighting Duration,UFO Comments,UFO Latitude
0,mi,Report 25031: Bird hunter surprises a resting sasquatch near Curtisville,11/18/08,44.565,-83.845,,oh,us,6/6/2008 22:00,light,30 seconds,Large bright light&#44 no sound in the shape of a circle&#44 with bright white halo&#44moving west to east,38.7455556
1,mi,Report 25031: Bird hunter surprises a resting sasquatch near Curtisville,11/18/08,44.565,-83.845,,oh,us,8/6/2012 21:57,light,4 minutes,Bright light moving accross the night sky.,38.7455556
2,mi,Report 25298: Man recalls a sasquatch watching he and a group of teenagers taking a walk while camping near Houghton Lake,7/16/09,44.17335,-84.6,My family would camp at the intersection one quarter section East of 18 and one quarter section North of Pond Rd.  The sighting occurred on a dirt road; one quarter section North of our camp.,ky,us,5/28/1987 20:30,circle,5 minutes,cant explain  thank about it almost everyday for 23 years,36.9888889
3,mi,Report 28897: Memory told of a possible daylight sighting while playing in the woods in Eben Junction,7/1/44,46.35503,-86.97,,al,us,11/28/2006 17:30,fireball,10 to 15 seconds,Glowing green ball of light falling from the sky over Northern Alabama,33.9944444
4,mo,Report 18278: Late night sighting by young couple in a parked car on a rural lane outside Kelso.,11/11/94,37.286,-89.6075,,il,us,9/8/2002 02:00,diamond,3 minutes,4 craft seen hovering in illinois,38.6066667
5,mo,Report 6656: Teenagers observe animal hiding behind trees in yard near Cape Fair.,11/21/04,36.73,-93.51,,mo,us,12/8/2009 19:00,rectangle,3 minutes,Elongated dark colored object  hovering 50 ft above ground with white lights flooding the ground&#44 no sound,36.7300000
6,mo,Report 1120: Sasquatch encountered standing by porch,6/1/71,36.6,-91.2,14 miles east on highway 160,ar,us,8/15/1999 18:00,triangle,15 seconds,We witnessed a triangular shaped object in the western sky above the town over McCrory&#44 AR - - It then vanished - not just the object&#44,35.256111100000005
7,mo,Report 20677: Resident describes possible vocalizations near Robertsville.,10/9/02,38.40685,-90.7,[Details removed by witness request],,ca,1/12/2008 06:30,fireball,07:45,January 12 @ approximately 6:30 am -we saw a White fuzzy circle&#44 red streak&#44 fireball&#44 accelerating at a very fast rate&#44.between the t,63.333333
8,mt,Report 1533: Motorist & passenger see white creature standing off I-15,12/20/81,47.07444,-111.9625,In Wolf Creek canyon near Wolf Creek; Montana off of I-15 returning to Helena after a trip to Great Falls,mt,us,6/28/1998 22:00,oval,10 seconds,On the above date and time&#44 myself and two others were camping on my property 5 miles east of Craig&#44 Mt. in the Big Belt Mts. The sky w,47.0744444
9,mt,Report 10357: Two men report powerful vocalizations behind neighborhood,1/23/05,46.75889,-114.08,South of Missoula,mt,us,3/15/1978 01:00,light,maybe 2 - 3 minutes,The animals were in terror.,46.7588889
10,mt,Report 10357: Two men report powerful vocalizations behind neighborhood,1/23/05,46.75889,-114.08,South of Missoula,mt,us,7/26/2013 23:20,flash,3-5 minutes,I was outside shutting off the sprinklers and as I was walking back inside I saw a flash of bright blue light. It almost apeared as lig,46.758888899999995
11,mt,Report 10357: Two men report powerful vocalizations behind neighborhood,1/23/05,46.75889,-114.08,South of Missoula,mt,us,9/12/1998 10:30,disk,5 min,My son and I saw a bright&#44 white colored object in the sky right near the moon&#44 but lower about a half hour ago.,46.758888899999995
12,ny,Report 26338: Possible vocalizations heard by campers In Lake Luzerne area,7/26/09,43.32,-73.81,,ny,us,6/1/1969 22:00,rectangle,3 minutes,Rectangle shaped object was huge dark colored with some white lights. Oddly quiet and fast.,42.2602778
13,ny,Report 26338: Possible vocalizations heard by campers In Lake Luzerne area,7/26/09,43.32,-73.81,,ny,us,8/25/2008 22:30,teardrop,1 hour,Bright moving light in Athens&#44 NY,42.2602778
14,or,Report 16624: Couple south of Aurora hears repeated screams; encounter with dog.,11/13/06,45.112590000000004,-122.7875,We are a quiet; rural neighborhood located south of Aurora; OR. Our neighborhood is rural/semi-rural surrounded by a lot of orchards and farms that stretch all the way down to Silver Falls to the south; the Cascades to the east and to the Coast Range to the west. We live on a small lake.  The scream was coming from an area just on the north shore of the lake.,or,us,10/17/2006 22:02,light,5 second,Green and White Falling Object&#44 Near Ashland&#44 Or,42.2458333
15,or,Report 16624: Couple south of Aurora hears repeated screams; encounter with dog.,11/13/06,45.112590000000004,-122.7875,We are a quiet; rural neighborhood located south of Aurora; OR. Our neighborhood is rural/semi-rural surrounded by a lot of orchards and farms that stretch all the way down to Silver Falls to the south; the Cascades to the east and to the Coast Range to the west. We live on a small lake.  The scream was coming from an area just on the north shore of the lake.,or,us,12/24/2012 19:30,light,5-7 minutes,Red/Yellow orb West of Medford&#44 Oregon&#44 Christmas Eve.,42.2458333
16,or,Report 16624: Couple south of Aurora hears repeated screams; encounter with dog.,11/13/06,45.112590000000004,-122.7875,We are a quiet; rural neighborhood located south of Aurora; OR. Our neighborhood is rural/semi-rural surrounded by a lot of orchards and farms that stretch all the way down to Silver Falls to the south; the Cascades to the east and to the Coast Range to the west. We live on a small lake.  The scream was coming from an area just on the north shore of the lake.,or,us,12/3/2013 21:45,unknown,1 minute,I live in Southern Oregon along Interstate 5. I was out throwing a ball for my dog tonight&#44 it was super dark and very cold&#44 so per,42.2458333
17,or,Report 16624: Couple south of Aurora hears repeated screams; encounter with dog.,11/13/06,45.112590000000004,-122.7875,We are a quiet; rural neighborhood located south of Aurora; OR. Our neighborhood is rural/semi-rural surrounded by a lot of orchards and farms that stretch all the way down to Silver Falls to the south; the Cascades to the east and to the Coast Range to the west. We live on a small lake.  The scream was coming from an area just on the north shore of the lake.,or,us,4/15/2007 23:00,changing,5  min.,bright flash&#44then ciclular orange orb of light diminshing to nothing and over and over&#44due north,42.2458333
18,or,Report 16624: Couple south of Aurora hears repeated screams; encounter with dog.,11/13/06,45.112590000000004,-122.7875,We are a quiet; rural neighborhood located south of Aurora; OR. Our neighborhood is rural/semi-rural surrounded by a lot of orchards and farms that stretch all the way down to Silver Falls to the south; the Cascades to the east and to the Coast Range to the west. We live on a small lake.  The scream was coming from an area just on the north shore of the lake.,or,us,8/2/2005 01:45,triangle,20 min.,witnessed an unidentified flying object that moved in a motion not capable of conventional aircraft ((NUFORC Note:  Possible star??PD)),42.2458333
